target 
(39 trained, 
95 skipped/
errors),        status , scenario, train_samples, test_samples, mae                  , rmse                , r2                    , median, max   , reason
Plantago      , ok     , baseline,        3088.0,       1324.0,  0.8024137971298122  ,  1.6094255595291054 , 0.0482329963926903    ,    0.0,   24.0, 
Platanus      , ok     , baseline,        3088.0,       1324.0,  1.2054540931765592  ,  2.8911610536771972 , -0.02806598223728174  ,    0.0,   75.0, 
Salix         , ok     , baseline,        3088.0,       1324.0,  1.9597525592855378  ,  6.342882121989388  , 0.11960899743110898   ,    0.0,  199.0, 
Filipendula   , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=13<50
Sambucus      , ok     , baseline,        3088.0,       1324.0,  0.34855069364125635 ,  0.5737472364357626 , -0.30981259665131344  ,    0.0,   32.0, 
Tilia         , ok     , baseline,        3088.0,       1324.0,  0.9274081034278793  ,  4.067235998254696  , -0.024876187358384705 ,    0.0,   59.0, 
Abies         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Aeculus       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Ailnthus      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Amaranthus    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=12<50
Anthriscus    , ok     , baseline,        3088.0,       1324.0,  0.026104708774060327,  0.04479100606572592, -1.6582618637313482   ,    0.0,    2.0, 
Aster         , ok     , baseline,        3088.0,       1324.0,  0.43539233238674035 ,  0.6966365470331958 , -15.162390718055779   ,    0.0,   31.0, 
Atriplex      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=6<50
Begonia       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=10<50
Bellis        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=32<50
Brassica      , ok     , baseline,        3088.0,       1324.0,  0.35967219751708074 ,  1.0419111832085997 , 0.02175545769520182   ,    0.0,   19.0, 
Brassicaceae  , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=19<50
Callistemon   , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Campanula     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=30<50
Canabis       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=28<50
Carex         , ok     , baseline,        3088.0,       1324.0,  0.08079395723527666 ,  0.26942793501461504, -0.016552323740611774 ,    0.0,    5.0, 
Carya         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=3<50
Celtis        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Centaurea     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=6<50
Cetaurea      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=3<50
Clematis      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Coryllus      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=11<50
Crategus      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Cucurbita     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Cupresssus    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=49<50
Cupressus     , ok     , baseline,        3088.0,       1324.0,  1.20275378390145    ,  4.477061524720665  , 0.07389508281394963   ,    0.0,  212.0, 
Cyperus       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Dahlia        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Daucus        , ok     , baseline,        3088.0,       1324.0,  0.20064267344995096 ,  0.3669225524506234 , 0.020795271633341716  ,    0.0,   12.0, 
Daucus c.     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=12<50
Daucus carota , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=22<50
Dianthus      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=8<50
Erica         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Erigeron      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=3<50
Eupatorium    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=13<50
Euphorbia     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=8<50
Forsitia      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Forsythia     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=17<50
Forsytia      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=3<50
Fresia        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Galium        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=30<50
Gallium       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Helianthus    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=9<50
Herachleum    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Heracleum     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=9<50
Humulus       , ok     , baseline,        3088.0,       1324.0,  0.4765627145773543  ,  1.3563838444528653 , 0.13788130760530093   ,    0.0,   31.0, 
Iva           , ok     , baseline,        3088.0,       1324.0,  0.08905884901429541 ,  0.10984099231863306, -14.98619188090166    ,    0.0,   15.0, 
Iva xanth     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Juniperus     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Lamium        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Lathyrus      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Ligustrum     , ok     , baseline,        3088.0,       1324.0,  0.053573133860745685,  0.2756121547810838 , -0.0020820409723492084,    0.0,    8.0, 
Lonicera      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Lotus         , ok     , baseline,        3088.0,       1324.0,  0.2127998050336031  ,  0.9144694585451644 , -0.047260195628785695 ,    0.0,   24.0, 
Lupinus       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Luzula        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=7<50
Lycopodium    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Lygustrum     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=6<50
Magnolia      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Matricaria    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=8<50
Matricharia   , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=3<50
Medicago      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=7<50
Meercurialis  , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Melandrium    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=5<50
Melilotis     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=20<50
Melilotus     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=7<50
Mentha        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Mercurialis   , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Mercuriallia  , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Morus         , ok     , baseline,        3088.0,       1324.0,  1.4954804610703676  ,  2.339406993317344  , -0.36817192874409366  ,    0.0,  254.0, 
Narcissus     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Narcussus     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Nicotiana     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Papaver       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=7<50
Petunia       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Phacelia      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Picea         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Pinus         , ok     , baseline,        3088.0,       1324.0,  1.1350157241311678  ,  5.299214441764854  , 0.038804950723257736  ,    0.0,  144.0, 
Pinus/Abies   , ok     , baseline,        3088.0,       1324.0,  0.22926836181713375 ,  0.2604429992617824 , 0.0                   ,    0.0,   32.0, 
Poa           , ok     , baseline,        3088.0,       1324.0,  2.3642490151854587  ,  5.239990248921893  , -0.1536679944080348   ,    0.0,   52.0, 
Poaceae       , ok     , baseline,        3088.0,       1324.0,  3.9414855470536896  ,  7.135894734726466  , -0.3890377235474076   ,    0.0,  231.0, 
Potentilla    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=5<50
Primula       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=18<50
Prunus        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=11<50
Ranunculuis   , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=7<50
Ranunculus    , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=6<50
Reseda        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=3<50
Rhus glabra   , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Ricinus       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Robinia       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=7<50
Senecio       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=28<50
Sinapis       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=5<50
Siringa       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=5<50
Solidago      , ok     , baseline,        3088.0,       1324.0,  0.07410698289041452 ,  0.1844380649982622 , -0.13290685970430594  ,    0.0,    5.0, 
Spirea        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=10<50
Syringa       , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=6<50
Tagetes patula, skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Taraxacum     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=28<50
Thuja         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Trifolium     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=26<50
Trifolium r.  , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=5<50
Tsuga         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=0<50
Tulipa        , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Tusilago      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Typha         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=9<50
Verbascum     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=19<50
Viola         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=2<50
Vitis         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=1<50
Xanthium      , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=6<50
ligustrum     , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=9<50

39 trained, 95 skipped/errors
